2017-12-04 13:04:21.690 |-INFO  [main] org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping [543] -| Mapped "{[/auditevents || /auditevents.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public org.springframework.http.ResponseEntity<?> org.springframework.boot.actuate.endpoint.mvc.AuditEventsMvcEndpoint.findByPrincipalAndAfterAndType(java.lang.String,java.util.Date,java.lang.String)
2017-12-04 13:04:21.692 |-INFO  [main] org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping [543] -| Mapped "{[/refresh || /refresh.json],methods=[POST]}" onto public java.lang.Object org.springframework.cloud.endpoint.GenericPostableMvcEndpoint.invoke()
2017-12-04 13:04:21.693 |-INFO  [main] org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping [543] -| Mapped "{[/beans || /beans.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2017-12-04 13:04:21.694 |-INFO  [main] org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping [543] -| Mapped "{[/env],methods=[POST]}" onto public java.lang.Object org.springframework.cloud.context.environment.EnvironmentManagerMvcEndpoint.value(java.util.Map<java.lang.String, java.lang.String>)
2017-12-04 13:04:21.694 |-INFO  [main] org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping [543] -| Mapped "{[/env/reset],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> org.springframework.cloud.context.environment.EnvironmentManagerMvcEndpoint.reset()
2017-12-04 13:04:21.696 |-INFO  [main] org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping [543] -| Mapped "{[/env/{name:.*}],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EnvironmentMvcEndpoint.value(java.lang.String)
2017-12-04 13:04:21.696 |-INFO  [main] org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping [543] -| Mapped "{[/env || /env.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2017-12-04 13:04:21.697 |-INFO  [main] org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping [543] -| Mapped "{[/autoconfig || /autoconfig.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2017-12-04 13:04:21.700 |-INFO  [main] org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping [543] -| Mapped "{[/mappings || /mappings.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2017-12-04 13:04:21.702 |-INFO  [main] org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping [543] -| Mapped "{[/loggers/{name:.*}],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.LoggersMvcEndpoint.get(java.lang.String)
2017-12-04 13:04:21.703 |-INFO  [main] org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping [543] -| Mapped "{[/loggers/{name:.*}],methods=[POST],consumes=[application/vnd.spring-boot.actuator.v1+json || application/json],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.LoggersMvcEndpoint.set(java.lang.String,java.util.Map<java.lang.String, java.lang.String>)
2017-12-04 13:04:21.703 |-INFO  [main] org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping [543] -| Mapped "{[/loggers || /loggers.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2017-12-04 13:04:21.704 |-INFO  [main] org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping [543] -| Mapped "{[/heapdump || /heapdump.json],methods=[GET],produces=[application/octet-stream]}" onto public void org.springframework.boot.actuate.endpoint.mvc.HeapdumpMvcEndpoint.invoke(boolean,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException,javax.servlet.ServletException
2017-12-04 13:04:21.705 |-INFO  [main] org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping [543] -| Mapped "{[/resume || /resume.json],methods=[POST]}" onto public java.lang.Object org.springframework.cloud.endpoint.GenericPostableMvcEndpoint.invoke()
2017-12-04 13:04:21.706 |-INFO  [main] org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping [543] -| Mapped "{[/health || /health.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.HealthMvcEndpoint.invoke(javax.servlet.http.HttpServletRequest,java.security.Principal)
2017-12-04 13:04:21.707 |-INFO  [main] org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping [543] -| Mapped "{[/metrics/{name:.*}],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.MetricsMvcEndpoint.value(java.lang.String)
2017-12-04 13:04:21.708 |-INFO  [main] org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping [543] -| Mapped "{[/metrics || /metrics.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2017-12-04 13:04:21.709 |-INFO  [main] org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping [543] -| Mapped "{[/info || /info.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2017-12-04 13:04:21.710 |-INFO  [main] org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping [543] -| Mapped "{[/features || /features.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2017-12-04 13:04:21.713 |-INFO  [main] org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping [543] -| Mapped "{[/restart || /restart.json],methods=[POST]}" onto public java.lang.Object org.springframework.cloud.context.restart.RestartMvcEndpoint.invoke()
2017-12-04 13:04:21.714 |-INFO  [main] org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping [543] -| Mapped "{[/dump || /dump.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2017-12-04 13:04:21.715 |-INFO  [main] org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping [543] -| Mapped "{[/trace || /trace.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2017-12-04 13:04:21.716 |-INFO  [main] org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping [543] -| Mapped "{[/configprops || /configprops.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2017-12-04 13:04:21.717 |-INFO  [main] org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping [543] -| Mapped "{[/pause || /pause.json],methods=[POST]}" onto public java.lang.Object org.springframework.cloud.endpoint.GenericPostableMvcEndpoint.invoke()
2017-12-04 13:04:21.950 |-INFO  [main] org.springframework.ui.freemarker.SpringTemplateLoader [61] -| SpringTemplateLoader for FreeMarker: using resource loader [org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@189aa67a: startup date [Mon Dec 04 13:04:15 CST 2017]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@3bf7ca37] and template loader path [classpath:/templates/]
2017-12-04 13:04:21.952 |-INFO  [main] org.springframework.web.servlet.view.freemarker.FreeMarkerConfigurer [127] -| ClassTemplateLoader for Spring macros added to FreeMarker configuration
2017-12-04 13:04:22.115 |-INFO  [main] org.springframework.cloud.netflix.eureka.InstanceInfoFactory [70] -| Setting initial instance status as: STARTING
2017-12-04 13:04:22.208 |-INFO  [main] com.netflix.discovery.DiscoveryClient [344] -| Initializing Eureka in region us-east-1
2017-12-04 13:04:22.209 |-INFO  [main] com.netflix.discovery.DiscoveryClient [347] -| Client configured to neither register nor query for data.
2017-12-04 13:04:22.234 |-INFO  [main] com.netflix.discovery.DiscoveryClient [361] -| Discovery Client initialized at timestamp 1512363862234 with initial instances count: 0
2017-12-04 13:04:22.371 |-INFO  [main] com.netflix.eureka.DefaultEurekaServerContext [63] -| Initializing ...
2017-12-04 13:04:22.373 |-WARN  [main] com.netflix.eureka.cluster.PeerEurekaNodes [156] -| The replica size seems to be empty. Check the route 53 DNS Registry
